iter	Passed	Remaining
0	1	99
1	1	96
2	2	91
3	3	84
4	4	85
5	5	84
6	6	83
7	7	82
8	8	82
9	9	81
10	10	81
11	11	80
12	12	80
13	13	80
14	14	79
15	14	78
16	15	77
17	16	76
18	17	75
19	18	73
20	19	72
21	20	71
22	21	70
23	22	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
